job_id,job_title,company,requirements,location,category,subcategory,type,salary
73330719,geospatial data scientist,climate alpha,"Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?
How many years' experience do you have as a Data Scientist?


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,science & technology,"mathematics, statistics & information sciences",full time,"$6,500 – $8,000 per month"
73327453,data scientist (data insights and generative ai) (id: 595535) - prit,persolkelly singapore pte ltd (formerly kelly services singapore pte ltd),"Work with business analysts and internal stakeholders to identify business problems and opportunities propose analytics solutions, as well as data and technology requirements, and formalize them into a project Analytics solutions which include, but are not limited to report automation, advanced analytics, and AI engines
Work with data engineers to plan, identify, and integrate data from multiple source systems to enterprise data platform for analytics purposes
Perform   data   exploration,   preprocess,   and   analyse   the   data   (both   structured   and unstructured); develop and deploy machine learning/deep learning models
Create dashboards to communicate and present key findings to stakeholders, and manage UAT
Work with the team to run and prioritise projects according to objectives and business impact
Bachelor's  or  master’s  degree  in  Data  Science,  Statistics,  Computer  Science,  Computer Engineering or equivalent disciplines that focused on extensive use of data for analysis
Strong programming experience using python or spark, with solid understanding of data science concepts.
Practical  knowledge  in  statistical  and machine  learning  techniques  including  Regression, Random Forest, Boosting, Trees, Text Mining, Network Analysis, etc
Practical knowledge in deep learning techniques including computer version, NLP, etc
Good to have knowledge or hands-on experience on generative AI
Experience in data visualization software such as Power BI or Tableau.
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,science & technology,"mathematics, statistics & information sciences",full time,
73509052,data analyst - analysis / research / evaluation / educational industry,trust recruit pte. ltd.,"Education Industry
Attractive Salary Package 
Friendly Working Environment 
Student attainment data (quantitative and qualitative) aggregation 
Establishing mechanisms and support for automating and/or streamlining data input; 
Utilizing a data warehouse to store data longitudinally
Utilizing software to synthesize data and generate reports
Maintaining a web-based data dashboard, customizable to stakeholders
Works closely and collaborates with the Director of Technology and technology team as required.
Work with the Vice Principal, Head of Teaching and Learning and Academic Directors to develop structures for collection, synthesis, and analysis of the academic student learning data to be collected (e.g., beginning-of-year/end-of-year tests, unit assessments, writing prompt results).
Coordinate external testing systems (e.g., CEM, IB, PISA) to ensure testing logistics (e.g., technology support, scheduling, training) run effectively and efficiently.
Generate and maintain reports, including a dashboard of indicators.  This would include generating regularly scheduled reports (e.g., Annual Report, CEM results) and reports as requested (e.g., grade-level assessment results, PLC results).
Develop data collection tools for use in classrooms that provide real-time analysis to inform teaching.
Assist VP in gathering and reporting schoolwide academic data for internal use and board presentations.
Liaise with third-party vendors on new technology and software opportunities to further enhance or develop reporting capabilities.
Stay abreast of current developments related to educational data, data integration systems, and data applications.
All other responsibilities and tasks as deemed appropriate by SLT and the Line Manager.
Bachelor’s degree
Excellent collaboration, interpersonal, facilitation, and communication skills 
Knowledge and understanding of research techniques, program evaluation, and data and reporting dynamics (e.g., data analytics, business intelligence)
Strong technology systems skills with expertise in databases, spreadsheets, formatting and reporting, and related applications
Aptitude to learn new technology systems
Experience leading change initiatives from conception to completion
Attention to accuracy of detailed information
Professional judgement handling confidential information 
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?


Insights on salary & in-demand skills


Reviews from people working in the industry

",west region,science & technology,"mathematics, statistics & information sciences",full time,"$5,000 – $7,500 per month"
73517583,"assistant manager, data and analytics [r00014885]",nanyang technological university,"Generates insights from both external and internal data to facilitate evidence-based decision making at various levels of the University.
Develops and implements databases, data analytics and other strategies to optimize statistical efficiency.
Locates and defines new process or continual improvement to support decision-making at different level of the University.
Works in team which consists of stakeholders across different units.
Has (or expecting) a PhD degree in the Social Sciences or the Science, Technology, Engineering, and Math (STEM), 
NOT
 necessarily in the data science or related fields,
Has empirical and quantitative skills,
Has good coding skills,
Has good communication skills,
Candidates who have visualization skills will have added advantage.


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,science & technology,"mathematics, statistics & information sciences",full time,
73381526,data science engineer /chemical manufacturing industry!,tempserv pte ltd,"Which of the following statements best describes your right to work in Singapore?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,science & technology,materials sciences,full time,
73458132,research engineer (engineering/ ai / machine learning) - wp3,singapore institute of technology,"Survey literature, learning and implement state-of-the-art techniques and tools (such as AI, deep learning, machine learning, etc) to solve challenging problems.)
Physics-based modelling of vessels engines, and vessel itself under different operating conditions
Algorithm design, coupling of physics-based model with AI methods for improved methods
Any other duties as assigned
Have a Bachelor degree and background in Engineering, computing or related fields


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",central region,information & communication technology,engineering - software,full time,
73445428,"senior executive / assistant manager, data analytics & insights(5861)",nuhs group ops & it,"Identify data and information needs required to enable the vision and key priorities of the organisation.
Collaborate with stakeholders to identify available and relevant datasets and make strategic recommendations on such collection, integration and usage.
Develop, maintain and refine interactive dashboards using data visualisation tools such as Tableau.
To assist in developing the timeline that will enable DAI to progressively meet stakeholder needs.
Establish and prioritise dashboard and scorecard of key stakeholders and working collaboratively with Group Clinical Ops and Group Service Ops, to refresh the Dashboard and Scorecards on an ongoing basis.
To be well versed with and keep updated on Epic and other operational applications in order to propose solutions that will address group operations management and senior management needs on operational excellence.
Bachelor’s Degree in Computer Science, Information Management, Mathematics, Statistics, Operations Research, Engineering or related disciplines with strong statistical modelling and machine learning skills.
At least 3 years of relevant working experience with analytics tools e.g. SQL, Python, MS Excel (advanced), data visualisation tools (e.g. Tableau)
Familiarity with healthcare setting is a plus.
Entry level candidates with excellent data capabilities will be considered.
Excellent interpersonal skills, attention to detail, and flexibility to collaborate across various team areas and functions.
Possess can-do attitude and work independently in ambiguous situations.
Strong analytical and problem-solving skills
Proficient in extracting, cleansing, and interpreting complex data with attention to detail and accuracy.
Able to communicate sophisticated data science concepts clearly through concise reports and presentations, effectively conveying observations and recommendations.


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",central region,hospitality & tourism,management,full time,
73227129,senior / data scientist,mediacorp pte ltd,"Serve as primary source of data insights supporting internal and external constituencies
Analyse and translate data findings into meaningful, actionable insights – including synthesising relevant insights from different customer touch points and data sources
Lead, design and implement quantitative analytical frameworks, including scalable predictive models, customer segmentation and advertising optimisation that improve business performance and customer engagement
Institute and adopt best practices in data science, platforms and approaches.
Establish internal organisational standards and benchmarks
Work with other teams in Mediacorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data architecture rules. Ensure compliance with internal customer contact governance policies and drive closed-loop measurement through smart data capture.
Become an internal authority on Mediacorp’s data tools and resources
Support ad-hoc business intelligence and other strategic initiatives
PhD or MS degree in Statistics, Mathematics, Machine Learning, Operations Research, Computer Science or related field.
Minimum 5 years hands-on experience in data science, including developing and productionising data science models
Demonstrated expertise in developing and implementing a full range of analytical techniques to address commercial challenges. Proficiency in at least one statistical analysis tool.
Demonstrated experience with distributed databases and query languages. Proficiency in at least one programming language (preferably Java, C++, Python).
Must possess exceptional business judgment to identify core business objectives; synthesise and interpret disparate quantitative information, and develop commercial insights for key stakeholders


Insights on salary & in-demand skills


Reviews from people working in the industry

",west region,information & communication technology,other,full time,
73529244,master data specialist,versant systems pte ltd,"Degree/Diploma in IT, Data or Equivalent
Experienced in master data creation and change processes within an operational framework
Sound understanding of Global Product Hierarchy structure and usage with business processes / reporting requirements – on group level
Good understanding of the GPA (or its equivalent) processes and their impact on regional/local business processes
Performing Global Product Hierarchy (GPH) process related tasks
Ensuring product mapping adherence to central governance guidelines
Experienced with Master Data tools and processes
Basic chemical and industry specific knowledge
Excellent communication and interpersonal skills
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?
How many years' experience do you have as a Master Data Specialist?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",central region,information & communication technology,management,full time,"$6,000 – $7,000 per month"
73417990,data engineer (spark scala elastic),a-it software services pte ltd,"Which of the following statements best describes your right to work in Singapore?


Insights on salary & in-demand skills


Reviews from people working in the industry

",singapore,information & communication technology,developers/programmers,contract/temp,
73254597,data scientist / senior data scientist,nippon paint holdings sg pte ltd,"Implement and manage data science and AI projects throughout their lifecycles to meet business and technical needs
Train, validate, test and deploy data science and AI models using on-premise and cloud resources
Extract, transform, load and visualize data from various sources across the company in different geographical regions
Gather and translate business and technical needs from internal and external stakeholders into metrics that can be optimized by data science and AI models
Collaborate closely with domain experts (e.g. chemists), IT engineers, software engineers, technology leaders and business leaders to ensure that data science and AI projects will meet business and technical needs
Prepare presentations and reports on data science and AI project outcomes to facilitate management’s decision-making and strategic planning
Keep abreast of latest developments and trends in data science and AI and implement innovative data science and AI models and best practices timely
Enthusiastic about learning relevant domain knowledge of paints and coatings that is needed to successfully execute data science and AI projects
Bachelor’s, master’s or PhD degree in computer science, AI, data science, electrical engineering, statistics, mathematics or related fields
Strong knowledge and expertise in data science, AI, machine learning and deep learning
At least 2 – 3 years of experience with implementing data science and AI projects in a business environment
Proficient in programming e.g. Python
Proficient in using machine learning frameworks e.g. PyTorch, TensorFlow, Keras and scikit-learn
Capable of working independently as well as in teams
Excellent communication skills for presentations and reports
Proficient in written and spoken English
Experience with paints and coatings, chemistry or materials science is a plus
Able to travel occasionally as and when required. 
Which of the following statements best describes your right to work in Singapore?
How many years' experience do you have as a Data Scientist?
Have you worked in a role which requires experience with machine learning techniques?
How many years' experience do you have as an Artificial Intelligence Engineer?


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,science & technology,"mathematics, statistics & information sciences",full time,"$5,500 – $8,000 per month"
73492571,data engineer (cloudera),peoplebank singapore pte ltd,"12 months contract, renewable
Work location: Depot Close
MNC IT Services company
Resident Engineer with Hadoop skillset as well as infra support skills. 
Minimum 5 years’ experience working on 
Cloudera platform
, with capability to administer, troubleshoot issues and perform upgrades.
Resident Engineer with Hadoop skillset as well as infra support skills. 
Infra admin experience with Redhat Linux and VMWare.
Hadoop admin experience, main product used is Cloudera.
High level knowledge YARN, MapReduce, Spark, Hive Hbase, Phoenix, Kafka and HDFS.
Cluster configuration and deployment details to integrate with the data center.
Best practices for preparing and maintaining Apache Hadoop in production.
Troubleshooting, diagnosing, tuning, and solving Hadoop issues.
Security administration of Cloudera cluster with Data encryption Knowledge.
Native Cloudera Backup and Recovery configuration principles.
Only Singaporeans
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?",west region,information & communication technology,database development & administration,contract/temp,"$7,000 – $10,000 per month"
73492379,data engineer / architect (1 year contract),adecco personnel pte ltd.,"Contract Role
Work location: Central
Work hours: Mon-Fri 9am-6pm; Hybrid
Hands on experience in managing applications either Data Management Platform (Cloudera, Informatica, SAS, SAP or Tableau) OR Microsoft Products (Dynamic CRM or SharePoint)
Strong technical skills in data or software architect
Excellent communication skills
Prepare your updated resume (please include your current salary package with a full breakdown such as base, incentives, annual wage supplement, etc.) and the expected package.
Apply through this application or send your resume to 
[email protected]
 in MS Word Copy. We'd love to hear from you!
We regret that only shortlisted candidates will be notified.


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,information & communication technology,engineering - software,full time,allowance
73177896,senior data analyst,tada mobility (singapore) pte ltd.,"Understand business objectives and work with key stakeholders to solve business challenges. 
Collaborate with team members from other departments to use data to identify trends and translate problems into actionable insights.
Use your data storytelling skills to present data beyond numbers and insights to non-technical stakeholders. 
Create and support the strategy to drive the whole organization to be powered by data and to be comfortable working with datasets.  
Mentor junior members and support the professional development of data analysts in the team.
Manage the organization’s BI tool and oversee the creation of datasets, reports and dashboards. 
Establish data governance policies and standards and drive initiatives to improve data management processes. 
Ensure data integrity, accuracy and quality through effective practices. 
At least 3 years of experience in a senior data analyst role, and/or have experience in team management. 
Bachelor’s or any degree in data science, statistics, business analytics or related field. 
Advanced in SQL and Python skills and fluent in other languages to handle requirements. 
Experienced in working in a platform or tech company and comfortable with working in a high velocity environment with large datasets. 
Strong data visualization and storytelling skills with prior experience in BI tools.
Effective communication and collaboration skills to present complex topics clearly to team members 
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?
How many years' experience do you have as a Data Analyst?
How many years' experience do you have using SQL queries?
Which of the following programming languages are you experienced in?


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,information & communication technology,business/systems analysts,full time,"$5,000 – $6,500 per month"
73502477,business analyst / data analyst (entry level/experience),staffking pte ltd,"5 days work week
Basic up to $3200
Location: Central CBD
Year-end bonus + Performance Bonus
Develop business intelligence tools and systems, including database, spreadsheet, and dashboard design.
Collect data from diverse sources: industry reports, public information, internal databases, field reports, and purchased datasets.
Generate standard or custom reports summarizing business, financial, or economic data for executives, managers, clients, and stakeholders.
Provide technical support for existing reports, dashboards, or tools as needed.
Participate in ad-hoc projects when required.
Diploma/Degree in IT/Data Analytics or related studies
Entry level is welcome to apply as training will be provided
Knowledgeable in SQL,VBA & POWER BI
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?


Insights on salary & in-demand skills


Reviews from people working in the industry

",central region,science & technology,"mathematics, statistics & information sciences",full time,"$2,800 – $3,200 per month"
73450978,"post doctoral fellow (laboratory of systems biology & data analytics), gis","agency for science, technology and research (a*star)","



Experience in computational biology




Mathematical sophistication




Programming skills in R/Python




Strong communication skills




Post-doctoral candidates should have a strong track record, including impactful publications


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",central region,science & technology,biological & biomedical sciences,full time,
73418797,data engineer (spark scala devops),a-it software services pte ltd,"Which of the following statements best describes your right to work in Singapore?


Insights on salary & in-demand skills


Reviews from people working in the industry

",singapore,information & communication technology,engineering - software,contract/temp,
73509542,"manager/assistant manager, ai office (2-year contract)",changi general hospital,"Which of the following statements best describes your right to work in Singapore?


Insights on salary & in-demand skills


Reviews from people working in the industry

",east region,science & technology,"mathematics, statistics & information sciences",full time,
72036558,social and behavioural scientist,dso national laboratories,"Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,science & technology,"mathematics, statistics & information sciences",full time,
73491833,"quantum ai engineer (investment company | up to 20,000 + vb | id: 599871)",persolkelly singapore pte ltd (formerly kelly services singapore pte ltd),"Utilize machine learning to process large-scale unstructured data to extract insights into financial market models, forming trading strategies within the financial market.
Improve existing machine learning algorithms through innovative approaches such as designing cutting-edge neural networks, and apply them extensively to the secondary market for feature/price predictions of secondary market targets.
Construct a scientific and rigorous algorithm evaluation system.
Master's degree or above in computer science, mathematics, statistics, or a related machine learning field, with a solid theoretical foundation and proficiency in commonly used algorithms in the machine learning domain.
Over 2 years of experience in machine learning development, with preference given to those with experience in quantitative research.
Proficient in Python, C++, and SQL.
Strong ability to learn, self-motivation, business understanding, and problem-solving skills.
How many years' experience do you have as an Artificial Intelligence Engineer?
Have you worked in a role which requires experience with statistical modelling?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",central region,information & communication technology,engineering - software,full time,"$15,000 – $20,000 per month"
73331913,data engineer,michael page international pte ltd,"Demonstrate expertise in managing diverse data, handling data pipelines using ETL tools, ensuring quality, and efficient persistence.
Design, implement, and support solutions post-implementation.
Operate within Agile and Scrum methodologies, employing TDD, Automated Testing, Continuous Integration, Automated Deployment, and Pair/Peer reviews.
Define objectives by analysing user requirements, envisioning system features, and functionality.
Stable organisation with career growth opportunity
Attractive salary and benefit package",central region,information & communication technology,engineering - software,full time,$7k - $8k p.m. + bonus
